,State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time
0,Total,1389221,887296,32128,469377,26/07/2020 13:51:24
1,Maharashtra,366368,207194,13389,145481,25/07/2020 20:18:45
2,Tamil Nadu,206737,151055,3409,52273,25/07/2020 18:17:23
3,Delhi,129531,113068,3806,12657,25/07/2020 17:54:22
4,Karnataka,90942,33750,1798,55385,25/07/2020 20:39:24
5,Andhra Pradesh,88671,43255,985,44431,25/07/2020 18:01:23
6,Uttar Pradesh,63742,39903,1387,22452,25/07/2020 17:16:23
7,Gujarat,54712,39714,2301,12697,25/07/2020 19:50:23
8,West Bengal,56377,35654,1332,19391,25/07/2020 20:39:26
9,Telangana,54059,41332,463,12264,26/07/2020 12:06:27
10,Rajasthan,35909,25353,621,9935,26/07/2020 10:56:26
11,Bihar,36314,24520,232,11561,25/07/2020 19:07:23
12,Haryana,30538,23654,389,6495,25/07/2020 20:27:27
13,Assam,31087,23056,77,7951,25/07/2020 23:51:53
14,Madhya Pradesh,26926,18488,799,7639,25/07/2020 19:16:24
15,Odisha,25389,15929,174,9286,26/07/2020 11:16:25
16,Jammu and Kashmir,17305,9517,305,7483,25/07/2020 18:40:24
17,Kerala,18099,8611,60,9420,25/07/2020 19:50:25
18,Punjab,12684,8297,291,4096,25/07/2020 19:58:24
19,Jharkhand,7892,3521,83,4288,26/07/2020 13:51:27
20,Chhattisgarh,7182,4683,39,2460,25/07/2020 23:06:28
21,Uttarakhand,5961,3495,63,2365,25/07/2020 20:39:30
22,Goa,4686,3047,33,1606,25/07/2020 21:06:26
23,Tripura,3882,2210,11,1643,25/07/2020 23:58:29
24,Puducherry,2654,1561,38,1055,25/07/2020 11:16:23
25,Manipur,2176,1520,0,656,25/07/2020 19:58:25
26,Himachal Pradesh,2072,1174,13,870,26/07/2020 13:26:25
27,Ladakh,1276,1057,3,216,25/07/2020 21:50:25
28,Nagaland,1339,541,4,794,26/07/2020 13:06:28
29,Arunachal Pradesh,1126,428,3,695,25/07/2020 23:51:56
30,Chandigarh,852,555,13,284,25/07/2020 19:40:25
31,Dadra and Nagar Haveli and Daman and Diu,901,544,2,345,25/07/2020 18:17:26
32,Meghalaya,669,109,5,555,26/07/2020 12:16:29
33,Sikkim,512,142,0,357,25/07/2020 22:07:27
34,Mizoram,361,183,0,178,25/07/2020 09:51:22
35,Andaman and Nicobar Islands,290,176,0,113,25/07/2020 21:06:28
36,State Unassigned,0,0,0,0,19/07/2020 09:40:01
37,Lakshadweep,0,0,0,0,26/03/2020 07:19:29
